	site
generation	50	100	150	200	250	300	350	400	450	500	550	600	650	700	750	800	850	900	950
0	1.0000000000000003e-05	1.0000000000000003e-05	1.0000000000000003e-05	1.0000000000000003e-05	1.0000000000000003e-05	1.0000000000000003e-05	1.0000000000000003e-05	1.0000000000000003e-05	1.0000000000000003e-05	1.0000000000000003e-05	1.0000000000000003e-05	1.0000000000000003e-05	1.0000000000000003e-05	1.0000000000000003e-05	1.0000000000000003e-05	1.0000000000000003e-05	1.0000000000000003e-05	1.0000000000000003e-05	1.0000000000000003e-05
100	9.996875000000004e-06	9.997500000000007e-06	9.999062500000003e-06	1.0000000000000004e-05	1.0000000000000004e-05	9.996656250000007e-06	9.987750000000006e-06	9.978812500000004e-06	9.981000000000005e-06	9.993281250000005e-06	1.0000000000000004e-05	1.0000000000000004e-05	1.0000000000000004e-05	1.0000000000000004e-05	1.0000000000000004e-05	9.998062500000006e-06	9.990718750000007e-06	9.978593750000008e-06	9.971875000000007e-06
200	1.0000000000000004e-05	9.994387096774197e-06	9.965225806451616e-06	9.930516129032262e-06	9.942064516129036e-06	9.981548387096778e-06	9.999161290322585e-06	1.0000000000000004e-05	1.0000000000000004e-05	1.0000000000000004e-05	9.999935483870972e-06	9.988709677419361e-06	9.955677419354844e-06	9.933935483870972e-06	9.933935483870972e-06	9.91951612903226e-06	9.901000000000006e-06	9.896774193548391e-06	9.896774193548391e-06
300	1.0000000000000003e-05	9.991172413793108e-06	9.939034482758624e-06	9.86103448275862e-06	9.865310344827586e-06	9.947793103448277e-06	9.985241379310349e-06	9.95372413793104e-06	9.925275862068968e-06	9.947000000000005e-06	9.985068965517244e-06	9.985758620689659e-06	9.94934482758621e-06	9.910655172413795e-06	9.876172413793103e-06	9.839275862068965e-06	9.837827586206898e-06	9.866517241379309e-06	9.879310344827585e-06
400	9.921428571428575e-06	9.928714285714286e-06	9.912250000000002e-06	9.852892857142856e-06	9.861214285714286e-06	9.947892857142858e-06	9.987000000000001e-06	9.960785714285717e-06	9.928214285714289e-06	9.940000000000001e-06	9.978607142857147e-06	9.981107142857146e-06	9.939285714285714e-06	9.916607142857145e-06	9.929785714285713e-06	9.926750000000001e-06	9.932428571428574e-06	9.960464285714292e-06	9.97142857142858e-06
500	9.91935483870968e-06	9.926741935483875e-06	9.908580645161293e-06	9.852354838709681e-06	9.867354838709679e-06	9.953419354838713e-06	9.989419354838715e-06	9.961161290322584e-06	9.926322580645167e-06	9.93903225806452e-06	9.981161290322583e-06	9.98754838709678e-06	9.93445161290323e-06	9.869387096774194e-06	9.859e-06	9.885290322580649e-06	9.915935483870971e-06	9.944387096774199e-06	9.954838709677424e-06
600	9.930000000000003e-06	9.921066666666669e-06	9.87206666666667e-06	9.795133333333336e-06	9.81026666666667e-06	9.924333333333336e-06	9.98286666666667e-06	9.952533333333335e-06	9.9232e-06	9.947466666666671e-06	9.987133333333336e-06	1.0000000000000003e-05	9.999166666666672e-06	9.997500000000007e-06	9.996666666666672e-06	9.996666666666672e-06	9.996666666666672e-06	9.991666666666671e-06	9.98666666666667e-06
700	1.0000000000000004e-05	9.994696969696974e-06	9.947787878787886e-06	9.873575757575761e-06	9.876484848484852e-06	9.949909090909096e-06	9.987424242424246e-06	9.965636363636369e-06	9.907909090909097e-06	9.843121212121217e-06	9.832454545454546e-06	9.88124242424243e-06	9.895818181818184e-06	9.865333333333335e-06	9.86336363636364e-06	9.885666666666671e-06	9.920515151515155e-06	9.95136363636364e-06	9.95757575757576e-06
800	1.0000000000000004e-05	9.982281250000006e-06	9.897687500000004e-06	9.795375000000001e-06	9.816125000000004e-06	9.925468750000006e-06	9.982937500000007e-06	9.961718750000005e-06	9.904250000000003e-06	9.850031250000003e-06	9.834218750000001e-06	9.875218750000005e-06	9.904843750000005e-06	9.876656250000004e-06	9.855281250000002e-06	9.872562500000005e-06	9.918125000000004e-06	9.958531250000007e-06	9.968750000000009e-06
