	site
generation	50	100	150	200	250	300	350	400	450	500	550	600	650	700	750	800	850	900	950	1000	1050	1100	1150	1200	1250	1300	1350	1400	1450	1500	1550	1600	1650	1700	1750	1800	1850	1900	1950	2000	2050	2100	2150	2200	2250	2300	2350	2400	2450	2500	2550	2600	2650	2700	2750	2800	2850	2900	2950	3000	3050	3100	3150	3200	3250	3300	3350	3400	3450	3500	3550	3600	3650	3700	3750	3800	3850	3900	3950	4000	4050	4100	4150	4200	4250	4300	4350	4400	4450	4500	4550	4600	4650	4700	4750	4800	4850	4900	4950
0	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08
500	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.998854838709668e-08	9.996532258064505e-08	9.991419354838704e-08	9.961967741935481e-08	9.919532258064516e-08	9.925725806451613e-08	9.970838709677416e-08	9.996419354838703e-08	9.999999999999994e-08	9.999999999999994e-08	9.998919354838699e-08	9.99617741935483e-08	9.995112903225798e-08	9.997370967741932e-08	9.999516129032252e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.988112903225796e-08	9.950709677419351e-08	9.924629032258065e-08	9.949435483870965e-08	9.986629032258056e-08	9.9984193548387e-08	9.999016129032251e-08	9.999516129032245e-08	9.998887096774184e-08	9.998693548387092e-08	9.999499999999992e-08	9.999483870967731e-08	9.997870967741925e-08	9.997290322580642e-08	9.998903225806446e-08	9.999693548387085e-08	9.998887096774184e-08	9.998693548387092e-08	9.997306451612891e-08	9.965306451612897e-08	9.898629032258064e-08	9.87791935483871e-08	9.931564516129026e-08	9.983693548387089e-08	9.998112903225797e-08	9.99816129032257e-08	9.997354838709667e-08	9.997499999999995e-08	9.999112903225801e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.998467741935472e-08	9.990370967741932e-08	9.978790322580637e-08	9.979661290322575e-08	9.992096774193543e-08	9.999322580645156e-08	9.999999999999994e-08	9.99949999999999e-08	9.995919354838702e-08	9.992080645161282e-08	9.994403225806448e-08	9.998741935483865e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999403225806442e-08	9.983387096774186e-08	9.943774193548384e-08	9.923387096774192e-08	9.95198387096774e-08	9.98838709677419e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.998693548387084e-08	9.994387096774188e-08	9.989483870967735e-08	9.990032258064506e-08	9.995693548387093e-08	9.999451612903219e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08
1000	9.963492063492063e-08	9.971015873015873e-08	9.981174603174599e-08	9.981968253968249e-08	9.96882539682539e-08	9.950269841269837e-08	9.933888888888885e-08	9.91895238095238e-08	9.931730158730157e-08	9.953904761904762e-08	9.94852380952381e-08	9.953349206349202e-08	9.982206349206347e-08	9.99788888888888e-08	9.996476190476184e-08	9.993380952380944e-08	9.994174603174596e-08	9.997841269841265e-08	9.999825396825391e-08	9.999999999999994e-08	9.999238095238083e-08	9.981476190476183e-08	9.939396825396826e-08	9.915000000000006e-08	9.915015873015877e-08	9.917190476190478e-08	9.946444444444443e-08	9.98633333333333e-08	9.999904761904756e-08	9.988587301587292e-08	9.950571428571426e-08	9.923396825396823e-08	9.949428571428568e-08	9.988015873015866e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.9999365079365e-08	9.998825396825388e-08	9.992015873015864e-08	9.949158730158723e-08	9.875825396825389e-08	9.862492063492052e-08	9.927460317460312e-08	9.984158730158719e-08	9.99455555555555e-08	9.98820634920634e-08	9.98995238095237e-08	9.996523809523805e-08	9.99961904761904e-08	9.999999999999994e-08	9.999999999999994e-08	9.993142857142846e-08	9.963476190476185e-08	9.92777777777778e-08	9.937111111111111e-08	9.972857142857138e-08	9.964317460317458e-08	9.928095238095238e-08	9.935841269841273e-08	9.97803174603174e-08	9.997539682539678e-08	9.996095238095229e-08	9.996952380952375e-08	9.999238095238089e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999476190476184e-08	9.96868253968253e-08	9.892666666666657e-08	9.853936507936501e-08	9.905952380952375e-08	9.972142857142848e-08	9.994285714285709e-08	9.997301587301582e-08	9.999682539682532e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999857142857134e-08	9.986063492063485e-08	9.946095238095236e-08	9.92368253968254e-08	9.954047619047617e-08	9.990253968253963e-08	9.999999999999994e-08	9.999476190476179e-08	9.996079365079359e-08	9.989999999999991e-08	9.989650793650787e-08	9.99546031746031e-08	9.998412698412691e-08
1500	9.939344262295079e-08	9.938213114754097e-08	9.924688524590164e-08	9.928245901639345e-08	9.95891803278688e-08	9.976213114754094e-08	9.962557377049172e-08	9.928590163934426e-08	9.928377049180327e-08	9.945786885245897e-08	9.926344262295085e-08	9.925459016393443e-08	9.969475409836063e-08	9.997524590163928e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.99954098360655e-08	9.982918032786876e-08	9.940639344262295e-08	9.914983606557382e-08	9.915459016393444e-08	9.917114754098365e-08	9.944836065573765e-08	9.984983606557373e-08	9.999524590163929e-08	9.984967213114746e-08	9.941311475409831e-08	9.918098360655738e-08	9.952131147540985e-08	9.990377049180324e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.992672131147531e-08	9.968934426229507e-08	9.949081967213112e-08	9.920721311475407e-08	9.863426229508192e-08	9.859393442622947e-08	9.930885245901636e-08	9.987016393442618e-08	9.998524590163925e-08	9.985737704918026e-08	9.968114754098358e-08	9.972377049180322e-08	9.990704918032784e-08	9.991606557377038e-08	9.977163934426224e-08	9.96701639344262e-08	9.949704918032785e-08	9.925426229508201e-08	9.937688524590163e-08	9.972426229508196e-08	9.963770491803276e-08	9.928573770491806e-08	9.936409836065572e-08	9.978147540983603e-08	9.999229508196715e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999770491803272e-08	9.998950819672123e-08	9.99859016393442e-08	9.998049180327858e-08	9.940622950819665e-08	9.82116393442623e-08	9.791081967213118e-08	9.869147540983613e-08	9.915655737704919e-08	9.933180327868855e-08	9.972311475409835e-08	9.997540983606551e-08	9.999999999999994e-08	9.998459016393436e-08	9.992868852459012e-08	9.988655737704913e-08	9.992377049180321e-08	9.985573770491796e-08	9.949688524590158e-08	9.928e-08	9.95488524590164e-08	9.981557377049178e-08	9.978934426229505e-08	9.97603278688524e-08	9.986147540983599e-08	9.995819672131142e-08	9.999196721311468e-08	9.999999999999994e-08	9.999999999999994e-08
2000	9.943749999999997e-08	9.944734374999997e-08	9.945171875e-08	9.959031249999998e-08	9.985218749999994e-08	9.996124999999994e-08	9.983140624999993e-08	9.959140624999996e-08	9.955453124999999e-08	9.962921874999998e-08	9.953796874999998e-08	9.954953124999994e-08	9.968374999999992e-08	9.972828124999991e-08	9.982406249999993e-08	9.995624999999995e-08	9.999921874999993e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.998749999999993e-08	9.979531249999993e-08	9.939359375000002e-08	9.919296875000004e-08	9.92040625e-08	9.918406250000002e-08	9.941703124999998e-08	9.982765624999997e-08	9.999781249999992e-08	9.987812499999994e-08	9.950921874999997e-08	9.925296875000001e-08	9.949078125000001e-08	9.986890624999996e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999406249999994e-08	9.990124999999994e-08	9.957546874999997e-08	9.922531250000003e-08	9.897718750000003e-08	9.856265624999996e-08	9.855218749999999e-08	9.929515624999999e-08	9.988546874999996e-08	9.997218749999988e-08	9.972828124999998e-08	9.931484375000002e-08	9.930171875e-08	9.970421874999996e-08	9.994765624999993e-08	9.997859374999994e-08	9.990156249999996e-08	9.956874999999998e-08	9.925078125000002e-08	9.943203125000001e-08	9.975562499999992e-08	9.958218749999999e-08	9.925359374999999e-08	9.941921875000001e-08	9.982953124999997e-08	9.998937499999991e-08	9.979562499999995e-08	9.936765624999999e-08	9.926171875000004e-08	9.963968750000002e-08	9.994265624999995e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.998640624999989e-08	9.945499999999995e-08	9.820046875000004e-08	9.771921875000004e-08	9.850624999999999e-08	9.898875000000003e-08	9.892546875000003e-08	9.916265624999998e-08	9.964703125000001e-08	9.993546874999993e-08	9.988187499999992e-08	9.952203124999994e-08	9.921234375000004e-08	9.940578124999997e-08	9.969718749999996e-08	9.949296875000001e-08	9.925453125000004e-08	9.950562500000003e-08	9.987265624999995e-08	9.998890624999993e-08	9.998765624999997e-08	9.999546874999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08
2500	9.939682539682543e-08	9.939841269841272e-08	9.930253968253969e-08	9.938761904761901e-08	9.977253968253965e-08	9.995158730158724e-08	9.970412698412695e-08	9.934412698412696e-08	9.937952380952381e-08	9.95331746031746e-08	9.9355873015873e-08	9.93673015873016e-08	9.975095238095237e-08	9.998174603174595e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.988476190476183e-08	9.950317460317458e-08	9.923396825396827e-08	9.94880952380952e-08	9.968587301587295e-08	9.937841269841268e-08	9.916396825396829e-08	9.919301587301586e-08	9.918587301587302e-08	9.944158730158731e-08	9.98455555555555e-08	9.999571428571423e-08	9.986920634920625e-08	9.947174603174602e-08	9.923333333333336e-08	9.952825396825397e-08	9.978222222222219e-08	9.950317460317458e-08	9.923396825396827e-08	9.949714285714282e-08	9.987841269841263e-08	9.996698412698406e-08	9.982539682539675e-08	9.947174603174604e-08	9.917603174603175e-08	9.898492063492065e-08	9.858253968253972e-08	9.855523809523806e-08	9.921349206349203e-08	9.977031746031742e-08	9.988714285714277e-08	9.963793650793649e-08	9.927492063492065e-08	9.936349206349207e-08	9.977349206349204e-08	9.997920634920629e-08	9.999999999999994e-08	9.9929365079365e-08	9.963190476190472e-08	9.927968253968253e-08	9.93679365079365e-08	9.973142857142853e-08	9.967365079365074e-08	9.929047619047621e-08	9.932317460317458e-08	9.975317460317459e-08	9.997158730158721e-08	9.976746031746027e-08	9.935507936507935e-08	9.927253968253968e-08	9.962904761904761e-08	9.99257142857142e-08	9.996920634920625e-08	9.99266666666666e-08	9.993555555555552e-08	9.998063492063487e-08	9.99898412698412e-08	9.949587301587297e-08	9.833238095238094e-08	9.780888888888894e-08	9.854063492063494e-08	9.922730158730156e-08	9.932e-08	9.94533333333333e-08	9.973777777777776e-08	9.993523809523806e-08	9.995047619047612e-08	9.975253968253963e-08	9.957714285714287e-08	9.969444444444444e-08	9.98301587301587e-08	9.967476190476187e-08	9.957206349206349e-08	9.975619047619042e-08	9.99098412698412e-08	9.990682539682534e-08	9.99119047619047e-08	9.996126984126979e-08	9.998920634920625e-08	9.997634920634915e-08	9.995777777777773e-08	9.995238095238092e-08
3000	9.937096774193548e-08	9.929064516129026e-08	9.892322580645161e-08	9.888564516129029e-08	9.951548387096774e-08	9.992258064516124e-08	9.970629032258061e-08	9.924661290322579e-08	9.914467741935484e-08	9.932096774193543e-08	9.928419354838708e-08	9.933935483870967e-08	9.971967741935482e-08	9.997322580645155e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.990677419354832e-08	9.956274193548382e-08	9.929758064516127e-08	9.952822580645157e-08	9.972693548387094e-08	9.942064516129028e-08	9.917741935483872e-08	9.919483870967739e-08	9.92033870967742e-08	9.947370967741932e-08	9.986532258064513e-08	9.999725806451605e-08	9.990677419354832e-08	9.956274193548382e-08	9.929758064516127e-08	9.953403225806448e-08	9.978370967741929e-08	9.95096774193548e-08	9.922709677419355e-08	9.949032258064515e-08	9.985564516129023e-08	9.970532258064512e-08	9.919322580645163e-08	9.886516129032264e-08	9.893290322580646e-08	9.892370967741936e-08	9.852435483870965e-08	9.857758064516128e-08	9.932709677419353e-08	9.987983870967737e-08	9.996596774193537e-08	9.968112903225804e-08	9.927129032258065e-08	9.934096774193546e-08	9.976274193548384e-08	9.99779032258064e-08	9.999999999999994e-08	9.991854838709669e-08	9.961629032258063e-08	9.927451612903226e-08	9.935209677419352e-08	9.96854838709677e-08	9.962677419354834e-08	9.929016129032255e-08	9.935161290322584e-08	9.976677419354838e-08	9.997241935483865e-08	9.973919354838705e-08	9.931645161290324e-08	9.930548387096775e-08	9.96998387096774e-08	9.99553225806451e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.998758064516123e-08	9.942338709677414e-08	9.821516129032257e-08	9.78261290322581e-08	9.85743548387097e-08	9.892822580645163e-08	9.872322580645162e-08	9.89217741935484e-08	9.944709677419352e-08	9.982516129032249e-08	9.98846774193548e-08	9.954999999999995e-08	9.923258064516132e-08	9.944499999999999e-08	9.969516129032255e-08	9.9415e-08	9.923193548387096e-08	9.958467741935482e-08	9.992758064516123e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08
3500	9.921875000000003e-08	9.920312499999998e-08	9.916578124999999e-08	9.941374999999997e-08	9.983812499999999e-08	9.995765624999988e-08	9.962062499999991e-08	9.884249999999993e-08	9.843296875e-08	9.8685625e-08	9.888968750000006e-08	9.886187500000003e-08	9.869531249999998e-08	9.886953124999991e-08	9.950203124999995e-08	9.99124999999999e-08	9.997390624999989e-08	9.979531249999992e-08	9.941640625e-08	9.925656250000004e-08	9.952078124999998e-08	9.964203124999994e-08	9.934937500000001e-08	9.918687500000006e-08	9.921937500000003e-08	9.922218749999998e-08	9.944624999999994e-08	9.982624999999995e-08	9.999578124999994e-08	9.984578124999995e-08	9.946843750000001e-08	9.927687500000002e-08	9.94496875e-08	9.931234374999997e-08	9.875203124999996e-08	9.873453124999993e-08	9.936171874999997e-08	9.983312499999994e-08	9.975531249999995e-08	9.920531249999996e-08	9.875890625000002e-08	9.88790625e-08	9.905421875e-08	9.870015625e-08	9.851968749999994e-08	9.91815625e-08	9.984874999999995e-08	9.996343749999993e-08	9.974234374999997e-08	9.934562500000002e-08	9.925093749999995e-08	9.959218749999992e-08	9.988234374999993e-08	9.997374999999993e-08	9.992468749999993e-08	9.957578124999994e-08	9.92271875e-08	9.942625e-08	9.977906249999993e-08	9.958781249999993e-08	9.923031249999999e-08	9.941374999999997e-08	9.983812499999999e-08	9.998078124999991e-08	9.981015624999994e-08	9.940593749999996e-08	9.925437499999998e-08	9.960906249999996e-08	9.991203124999993e-08	9.990859374999994e-08	9.98760937499999e-08	9.993031249999991e-08	9.997781249999995e-08	9.997906249999993e-08	9.962046874999993e-08	9.845374999999997e-08	9.765625000000003e-08	9.824484375000002e-08	9.883906250000004e-08	9.878515624999999e-08	9.890015625e-08	9.941765625000001e-08	9.984984374999996e-08	9.960234374999992e-08	9.885265624999994e-08	9.860718749999988e-08	9.91740624999999e-08	9.963624999999996e-08	9.946421875000001e-08	9.927687500000002e-08	9.95315625e-08	9.987734374999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08
4000	9.931666666666665e-08	9.93435e-08	9.927616666666668e-08	9.920766666666668e-08	9.920450000000001e-08	9.92563333333333e-08	9.91878333333333e-08	9.868466666666666e-08	9.855716666666665e-08	9.90166666666667e-08	9.915966666666668e-08	9.890150000000006e-08	9.848683333333333e-08	9.849683333333335e-08	9.924283333333333e-08	9.986616666666662e-08	9.999999999999994e-08	9.985749999999991e-08	9.946349999999997e-08	9.924849999999999e-08	9.952733333333334e-08	9.968399999999994e-08	9.936416666666667e-08	9.912950000000003e-08	9.9093e-08	9.91023333333333e-08	9.942283333333336e-08	9.984483333333331e-08	9.999583333333328e-08	9.985749999999991e-08	9.946349999999997e-08	9.924849999999999e-08	9.940283333333331e-08	9.920233333333336e-08	9.861533333333337e-08	9.866466666666666e-08	9.938500000000003e-08	9.98678333333333e-08	9.973849999999992e-08	9.9205e-08	9.879900000000002e-08	9.890366666666675e-08	9.900966666666666e-08	9.8635e-08	9.858366666666668e-08	9.928216666666665e-08	9.986916666666661e-08	9.996166666666657e-08	9.970099999999997e-08	9.930683333333336e-08	9.932816666666667e-08	9.973149999999998e-08	9.997083333333328e-08	9.999999999999994e-08	9.98954999999999e-08	9.954333333333331e-08	9.923949999999997e-08	9.942716666666668e-08	9.977333333333328e-08	9.96453333333333e-08	9.928016666666664e-08	9.936516666666669e-08	9.975749999999997e-08	9.988783333333326e-08	9.966616666666657e-08	9.930983333333335e-08	9.927716666666667e-08	9.965466666666665e-08	9.994399999999993e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.998683333333326e-08	9.950483333333329e-08	9.831683333333332e-08	9.77513333333334e-08	9.841600000000004e-08	9.889283333333335e-08	9.880433333333335e-08	9.897516666666664e-08	9.9476e-08	9.98611666666666e-08	9.96628333333333e-08	9.888550000000002e-08	9.85346666666667e-08	9.913233333333333e-08	9.964233333333326e-08	9.9428e-08	9.92505e-08	9.956883333333333e-08	9.990966666666662e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08	9.999999999999994e-08
