	site
generation	50	100	150	200	250	300	350	400	450	500	550	600	650	700	750	800	850	900	950
0	1.0000000000000004e-05	1.0000000000000004e-05	1.0000000000000004e-05	1.0000000000000004e-05	1.0000000000000004e-05	1.0000000000000004e-05	1.0000000000000004e-05	1.0000000000000004e-05	1.0000000000000004e-05	1.0000000000000004e-05	1.0000000000000004e-05	1.0000000000000004e-05	1.0000000000000004e-05	1.0000000000000004e-05	1.0000000000000004e-05	1.0000000000000004e-05	1.0000000000000004e-05	1.0000000000000004e-05	1.0000000000000004e-05
100	9.997348484848487e-06	9.99199134199135e-06	9.993560606060611e-06	9.998917748917753e-06	1.0000000000000004e-05	1.0000000000000004e-05	9.98777056277057e-06	9.917370129870133e-06	9.912229437229441e-06	9.982629870129873e-06	9.965476190476196e-06	9.903138528138535e-06	9.934523809523813e-06	9.996861471861476e-06	1.0000000000000004e-05	1.0000000000000004e-05	1.0000000000000004e-05	1.0000000000000004e-05	1.0000000000000004e-05
200	1.0000000000000004e-05	1.0000000000000004e-05	1.0000000000000004e-05	1.0000000000000004e-05	1.0000000000000004e-05	1.0000000000000004e-05	9.99475108225109e-06	9.981277056277061e-06	9.9840367965368e-06	9.997510822510826e-06	9.99929653679654e-06	9.991774891774897e-06	9.991612554112556e-06	9.999134199134204e-06	1.0000000000000004e-05	1.0000000000000004e-05	1.0000000000000004e-05	9.996428571428575e-06	9.988311688311694e-06
300	9.97408008658009e-06	9.906168831168834e-06	9.922889610389614e-06	9.990800865800869e-06	1.0000000000000004e-05	9.999945887445892e-06	9.990638528138534e-06	9.922186147186152e-06	9.906331168831175e-06	9.974837662337667e-06	9.991071428571433e-06	9.926352813852818e-06	9.908928571428578e-06	9.97364718614719e-06	1.0000000000000004e-05	1.0000000000000004e-05	1.0000000000000004e-05	1.0000000000000004e-05	1.0000000000000004e-05
400	1.0000000000000004e-05	9.999423963133645e-06	9.99521889400922e-06	9.994124423963138e-06	9.99832949308756e-06	1.0000000000000004e-05	1.0000000000000004e-05	1.0000000000000004e-05	1.0000000000000004e-05	9.999827188940097e-06	9.992165898617515e-06	9.98133640552996e-06	9.988479262672817e-06	9.99948156682028e-06	1.0000000000000004e-05	1.0000000000000004e-05	1.0000000000000004e-05	1.0000000000000004e-05	1.0000000000000004e-05
500	1.0000000000000003e-05	1.0000000000000003e-05	1.0000000000000003e-05	1.0000000000000003e-05	9.999404761904763e-06	9.976607142857146e-06	9.960595238095241e-06	9.962857142857145e-06	9.913928571428575e-06	9.920535714285717e-06	9.958928571428576e-06	9.903750000000003e-06	9.927142857142858e-06	9.996250000000003e-06	1.0000000000000003e-05	1.0000000000000003e-05	9.99982142857143e-06	9.968809523809526e-06	9.918392857142856e-06
600	9.993694196428578e-06	9.995200892857149e-06	9.998716517857147e-06	1.0000000000000004e-05	9.999274553571433e-06	9.990904017857147e-06	9.985379464285721e-06	9.982533482142861e-06	9.931138392857148e-06	9.923437500000003e-06	9.953962053571433e-06	9.915569196428578e-06	9.939620535714289e-06	9.996093750000005e-06	9.955022321428577e-06	9.91456473214286e-06	9.957477678571433e-06	9.998772321428573e-06	1.0000000000000004e-05
700	1.0000000000000004e-05	1.0000000000000004e-05	1.0000000000000004e-05	1.0000000000000004e-05	9.982085253456225e-06	9.913940092165902e-06	9.921140552995395e-06	9.968375576036871e-06	9.91710829493088e-06	9.920910138248851e-06	9.970449308755763e-06	9.953110599078345e-06	9.959907834101389e-06	9.969642857142863e-06	9.921658986175121e-06	9.915092165898624e-06	9.966359447004614e-06	9.997638248847929e-06	1.0000000000000004e-05
800	1.0000000000000004e-05	1.0000000000000004e-05	9.976900921658992e-06	9.905126728110601e-06	9.923099078341016e-06	9.994873271889405e-06	1.0000000000000004e-05	1.0000000000000004e-05	9.98870967741936e-06	9.928341013824887e-06	9.911290322580648e-06	9.971658986175117e-06	1.0000000000000004e-05	1.0000000000000004e-05	1.0000000000000004e-05	1.0000000000000004e-05	1.0000000000000004e-05	9.992741935483877e-06	9.981221198156686e-06
900	1.0000000000000004e-05	1.0000000000000004e-05	9.977937788018437e-06	9.919642857142862e-06	9.938191244239632e-06	9.99648617511521e-06	1.0000000000000004e-05	9.999942396313369e-06	9.98824884792627e-06	9.940437788018436e-06	9.923387096774197e-06	9.969297235023045e-06	9.99804147465438e-06	1.0000000000000004e-05	9.95374423963134e-06	9.913882488479263e-06	9.95898617511521e-06	9.995103686635948e-06	9.990495391705072e-06
1000	1.0000000000000003e-05	1.0000000000000003e-05	1.0000000000000003e-05	1.0000000000000003e-05	1.0000000000000003e-05	1.0000000000000003e-05	1.0000000000000003e-05	9.979226190476194e-06	9.910654761904766e-06	8.596190476190478e-06	7.268750000000002e-06	8.59791666666667e-06	9.993928571428575e-06	9.999642857142861e-06	9.37011904761905e-06	7.859226190476189e-06	8.434226190476191e-06	9.85541666666667e-06	9.761130952380962e-06
1100	1.0000000000000003e-05	1.0000000000000003e-05	1.0000000000000003e-05	1.0000000000000003e-05	1.0000000000000003e-05	1.0000000000000003e-05	1.0000000000000003e-05	1.0000000000000003e-05	9.986964285714287e-06	9.980000000000003e-06	9.989345238095241e-06	9.993333333333336e-06	9.997023809523813e-06	9.99952380952381e-06	9.212261904761907e-06	7.368214285714286e-06	8.041071428571431e-06	9.884166666666668e-06	9.995595238095238e-06
1200	1.0000000000000003e-05	1.0000000000000003e-05	1.0000000000000003e-05	1.0000000000000003e-05	1.0000000000000003e-05	1.0000000000000003e-05	1.0000000000000003e-05	9.995952380952386e-06	9.984345238095242e-06	9.684047619047622e-06	9.065178571428573e-06	9.337261904761908e-06	9.96714285714286e-06	9.999404761904766e-06	9.99345238095239e-06	9.984226190476195e-06	9.989880952380955e-06	9.999107142857146e-06	1.0000000000000003e-05
1300	9.995952380952385e-06	9.998928571428574e-06	1.0000000000000003e-05	1.0000000000000003e-05	1.0000000000000003e-05	1.0000000000000003e-05	1.0000000000000003e-05	1.0000000000000003e-05	1.0000000000000003e-05	1.0000000000000003e-05	1.0000000000000003e-05	1.0000000000000003e-05	1.0000000000000003e-05	1.0000000000000003e-05	1.0000000000000003e-05	1.0000000000000003e-05	1.0000000000000003e-05	9.997500000000002e-06	9.994523809523811e-06
1400	1.0000000000000003e-05	1.0000000000000003e-05	1.0000000000000003e-05	1.0000000000000003e-05	1.0000000000000003e-05	9.99761904761905e-06	9.994642857142859e-06	9.99571428571429e-06	9.998690476190478e-06	1.0000000000000003e-05	1.0000000000000003e-05	1.0000000000000003e-05	1.0000000000000003e-05	1.0000000000000003e-05	9.997500000000002e-06	9.996666666666669e-06	9.999166666666669e-06	9.998571428571431e-06	9.995595238095238e-06
1500	9.970161290322587e-06	9.882718894009219e-06	9.862960829493091e-06	9.93692396313364e-06	9.96866359447005e-06	9.934216589861755e-06	9.752822580645164e-06	9.791301843317978e-06	9.990552995391707e-06	9.998099078341019e-06	9.996774193548392e-06	9.998675115207377e-06	1.0000000000000004e-05	9.999942396313369e-06	9.994873271889403e-06	9.98755760368664e-06	9.992223502304151e-06	9.996889400921664e-06	9.994412442396316e-06
1600	9.978962053571436e-06	9.783928571428575e-06	9.671093750000003e-06	9.862946428571433e-06	9.996819196428576e-06	1.0000000000000004e-05	1.0000000000000004e-05	1.0000000000000004e-05	1.0000000000000004e-05	1.0000000000000004e-05	1.0000000000000004e-05	1.0000000000000004e-05	1.0000000000000004e-05	1.0000000000000004e-05	1.0000000000000004e-05	1.0000000000000004e-05	1.0000000000000004e-05	1.0000000000000004e-05	1.0000000000000004e-05
1700	9.946716589861755e-06	9.542741935483873e-06	9.410311059907839e-06	9.812096774193553e-06	9.983582949308757e-06	9.898675115207378e-06	9.8227534562212e-06	9.898099078341017e-06	9.98824884792627e-06	1.0000000000000004e-05	1.0000000000000004e-05	1.0000000000000004e-05	1.0000000000000004e-05	9.992857142857148e-06	9.987096774193554e-06	9.99366359447005e-06	9.990322580645165e-06	9.987672811059911e-06	9.996774193548392e-06
1800	9.96707589285715e-06	8.570982142857144e-06	5.747879464285715e-06	7.09151785714286e-06	9.941517857142861e-06	9.912053571428576e-06	9.837388392857146e-06	9.906696428571431e-06	9.987388392857146e-06	1.0000000000000004e-05	1.0000000000000004e-05	1.0000000000000004e-05	1.0000000000000004e-05	9.99782366071429e-06	9.996875000000006e-06	9.999051339285718e-06	1.0000000000000004e-05	1.0000000000000004e-05	1.0000000000000004e-05
1900	9.957589285714285e-06	8.586352040816327e-06	5.160140306122448e-06	6.463775510204083e-06	9.923022959183675e-06	9.911352040816329e-06	9.822130102040816e-06	9.888647959183676e-06	9.980867346938775e-06	9.998724489795918e-06	9.969579081632652e-06	9.929910714285715e-06	9.948724489795917e-06	9.901913265306125e-06	9.895982142857144e-06	9.983737244897959e-06	1e-05	9.976658163265306e-06	9.93839285714286e-06
2000	9.89910714285715e-06	7.890625000000004e-06	4.705022321428573e-06	6.671875000000004e-06	9.954017857142861e-06	9.911941964285717e-06	9.833426339285714e-06	9.900558035714289e-06	9.983426339285716e-06	1.0000000000000004e-05	9.981696428571433e-06	9.914229910714292e-06	9.917857142857147e-06	9.914899553571433e-06	9.907868303571436e-06	9.977120535714291e-06	9.998828125000003e-06	1.0000000000000004e-05	1.0000000000000004e-05
2100	9.88106060606061e-06	7.456601731601735e-06	4.377705627705629e-06	6.748484848484852e-06	9.935443722943727e-06	9.900324675324676e-06	9.820995670995671e-06	9.899675324675328e-06	9.985010822510831e-06	9.996969696969703e-06	9.98295454545455e-06	9.920779220779228e-06	9.918722943722945e-06	9.918614718614723e-06	9.915638528138533e-06	9.978787878787883e-06	1.0000000000000004e-05	1.0000000000000004e-05	1.0000000000000004e-05
