generation	replicate_1	replicate_2	replicate_3	replicate_4	replicate_5	replicate_6	replicate_7	replicate_8	replicate_9	replicate_10	replicate_11	replicate_12	replicate_13	replicate_14	replicate_15	replicate_16	replicate_17	replicate_18	replicate_19	replicate_20	replicate_21	replicate_22	replicate_23	replicate_24	replicate_25	replicate_26	replicate_27	replicate_28	replicate_29	replicate_30	replicate_31	replicate_32	replicate_33	replicate_34	replicate_35	replicate_36	replicate_37	replicate_38	replicate_39	replicate_40	replicate_41	replicate_42	replicate_43	replicate_44	replicate_45	replicate_46	replicate_47	replicate_48	replicate_49	replicate_50	replicate_51	replicate_52	replicate_53	replicate_54	replicate_55	replicate_56	replicate_57	replicate_58	replicate_59	replicate_60	replicate_61	replicate_62	replicate_63	replicate_64	replicate_65	replicate_66	replicate_67	replicate_68	replicate_69	replicate_70	replicate_71	replicate_72	replicate_73	replicate_74	replicate_75	replicate_76	replicate_77	replicate_78	replicate_79	replicate_80	replicate_81	replicate_82	replicate_83	replicate_84	replicate_85	replicate_86	replicate_87	replicate_88	replicate_89	replicate_90	replicate_91	replicate_92	replicate_93	replicate_94	replicate_95	replicate_96	replicate_97	replicate_98	replicate_99	replicate_100
1200	11200	0	2300	0	0	0	0	0	0	2500	0	0	0	0	0	0	0	0	0	0	0	0	0	9300	0	0	2000	0	0	0	0	0	0	0	0	10700	0	0	0	0	0	0	2800	500	0	0	0	0	0	0	0	2800	0	0	0	0	5000	0	0	0	0	800	0	0	0	0	0	0	0	5200	0	7900	4900	5200	0	0	0	0	0	0	0	0	0	0	0	5800	11900	0	0	4300	0	0	0	0	4600	0	0	0	0	0
1300	11200	0	2300	0	0	0	0	0	0	2500	0	0	0	0	0	0	0	0	0	0	0	0	0	9300	0	0	2000	0	0	0	0	0	0	0	0	10700	0	0	0	0	0	0	0	500	0	0	0	0	0	0	0	2800	0	0	0	0	5000	0	0	0	0	800	0	0	0	0	0	0	0	5200	0	7900	4900	5200	0	0	0	0	0	0	0	4000	0	4300	0	5800	11900	0	0	4300	0	0	0	0	4600	0	0	0	0	0
1400	11200	0	2300	0	0	0	0	0	0	2500	0	0	0	0	0	0	0	0	0	0	0	0	0	9300	0	0	2000	0	0	0	0	0	0	0	0	10700	0	0	0	0	0	0	2800	500	0	0	0	0	0	3300	0	2800	0	0	0	3700	5000	0	0	0	0	800	0	0	0	0	0	0	0	800	0	7900	4900	5200	0	0	0	0	0	0	0	4000	0	5300	0	5800	11900	0	0	4300	0	0	0	0	4600	0	0	0	0	0
1500	11200	0	2300	0	0	0	0	0	0	2500	0	0	0	0	0	0	0	0	0	0	0	0	0	9400	0	0	2000	0	0	0	0	4800	0	0	0	10700	0	2600	0	0	0	0	2800	500	0	0	0	0	0	3300	0	2800	0	0	0	3700	5000	0	5900	0	0	800	0	0	0	0	0	0	0	800	0	7900	4900	5200	0	0	0	0	0	0	0	4000	0	5300	0	5800	11900	0	0	4300	0	0	0	0	4600	0	0	0	0	0
1600	14000	0	2300	0	0	0	0	0	0	2500	0	0	0	0	0	0	0	0	0	0	0	0	0	9400	0	0	2000	0	0	0	0	4800	0	0	0	10700	0	2600	0	0	0	0	0	500	0	0	0	0	0	3300	0	2900	0	0	0	3700	5000	0	5900	0	0	800	3200	0	0	0	0	0	0	5200	0	7900	4900	5200	0	0	0	0	6400	0	0	4000	0	5300	0	5800	11900	0	0	4300	0	0	0	0	4600	0	0	0	0	0
1700	14000	0	2300	0	0	0	0	0	0	2500	0	0	0	0	0	0	0	0	0	0	0	0	0	9400	0	0	2000	0	0	0	0	4800	0	0	0	10700	0	2600	0	0	0	0	2800	500	0	0	0	0	0	3300	0	2900	0	0	0	3700	5000	0	5900	0	0	800	3200	0	0	0	0	0	0	5200	0	7900	4900	5200	0	0	0	0	6400	0	0	4000	0	5300	0	5800	11900	0	0	4300	0	0	0	0	4600	0	0	0	0	0
1800	14000	0	2300	0	0	0	0	0	0	2500	0	0	0	0	0	0	0	0	0	0	0	0	0	9400	0	0	2000	0	0	0	0	4800	0	0	0	10700	0	2600	0	0	0	0	2800	500	2400	1300	0	0	0	3300	0	2800	0	0	0	3700	0	0	5900	0	0	800	3200	0	0	0	0	0	0	5200	0	7900	4900	2700	0	0	0	0	6400	0	0	4000	0	5300	0	5800	11900	0	0	4300	0	0	0	0	4600	0	0	0	0	0
1900	14000	0	2300	0	0	0	0	0	0	2500	2700	0	0	0	0	0	0	0	0	0	0	0	0	9400	0	0	0	0	500	0	0	4800	0	0	0	10700	0	2600	0	0	0	0	2800	500	2400	1800	0	0	0	3300	0	2900	0	0	0	0	0	0	5900	0	0	800	3200	0	0	0	0	0	0	5200	0	7900	4900	5200	0	0	0	0	6400	0	0	4000	0	5300	0	5800	11900	0	0	4300	0	0	0	0	4600	0	0	0	0	0
2000	14000	0	2300	0	0	0	0	0	0	2500	2700	0	0	0	0	0	0	0	0	0	0	0	0	9400	0	0	2000	0	500	0	0	4800	0	0	0	10700	0	2600	0	0	0	0	0	500	2400	1800	0	0	0	0	0	2900	0	0	0	3700	0	0	5900	0	0	800	3200	0	0	0	0	0	0	5200	0	7900	4900	5200	0	0	0	0	6700	0	0	4000	0	5300	0	5800	11900	0	0	4300	0	0	0	0	4600	0	0	0	0	0
2100	14000	0	2300	0	0	6900	0	0	0	2500	2700	0	0	0	0	0	0	0	0	0	0	0	0	9400	0	0	2000	0	500	0	0	4800	0	0	0	10700	0	2600	0	0	0	0	2800	0	2400	1800	0	0	0	3300	0	2900	0	0	0	3700	0	0	5900	0	0	800	3200	0	0	0	0	0	0	5200	0	7900	4900	2700	0	0	0	0	6400	0	0	4000	0	5300	0	5800	11900	0	0	4300	0	0	0	0	4600	0	0	0	0	0
2200	14000	0	2300	0	8300	6900	0	0	0	2500	2700	0	0	0	0	0	0	0	0	0	0	0	0	9400	0	0	2000	0	500	0	0	4800	0	0	0	10700	0	0	0	0	0	0	2800	500	2400	1800	0	0	0	3300	0	2900	0	0	0	3700	0	0	5900	0	0	800	3200	0	0	0	0	0	0	5200	3300	7900	4900	2700	0	0	0	0	6400	0	0	4000	0	5300	0	5800	11900	0	0	4300	0	0	0	0	4600	0	0	0	0	0
2300	14000	0	2300	0	8300	6900	0	0	0	2500	2700	0	0	0	0	0	0	0	0	0	0	0	0	9400	0	0	2000	0	500	0	0	4800	0	0	0	15600	0	2600	0	0	0	0	2800	500	2400	1800	0	0	0	3300	0	2900	0	0	0	3700	0	0	5900	7700	0	800	9600	0	0	0	0	0	0	5200	3300	7900	4900	5200	0	0	0	0	6400	0	0	4000	0	5300	0	5800	11900	0	0	4300	0	0	0	0	4600	0	1200	0	0	0
2400	14000	0	2300	0	8300	6900	0	0	0	2500	2700	0	0	0	0	1100	0	0	0	0	0	0	0	9400	0	0	2000	0	500	0	0	4800	0	0	0	15600	0	2600	0	0	0	0	2800	500	2400	1800	0	0	0	3300	0	2900	0	0	0	3700	0	0	5900	7700	0	800	9600	0	0	0	7500	0	0	5200	3300	7900	4900	2700	0	0	0	0	6400	0	0	4000	0	5300	0	5800	11900	0	0	4300	0	0	0	0	4600	0	1200	0	0	0
2500	14000	0	2300	0	8300	6900	0	0	0	2500	2700	0	0	0	0	1100	0	0	0	0	0	0	0	9400	0	0	2000	0	500	0	0	4800	0	0	0	15600	0	2600	0	0	0	0	2800	500	2400	1800	0	0	0	3300	0	0	0	0	0	3700	0	0	5900	7700	0	800	3200	0	0	0	7500	0	0	5200	3300	7900	4900	2700	0	0	0	0	6400	0	0	4000	0	5300	0	5800	11900	0	0	4300	0	0	0	600	4600	0	1200	0	0	0
2600	19000	0	2300	0	8300	6900	0	0	0	2500	2700	0	0	0	0	1100	0	0	0	0	0	0	0	9400	0	0	2000	0	500	0	0	4800	0	0	0	15600	0	2600	0	0	0	0	2800	500	2400	1800	0	0	0	3300	0	0	0	0	0	3700	0	0	5900	7700	0	800	9600	0	0	0	7500	0	0	5200	3300	7900	4900	2700	0	0	0	0	6400	0	0	4000	0	5300	0	5800	11900	0	0	14600	0	0	0	600	4600	0	1200	0	0	0
2700	19000	0	2300	0	8300	6900	0	0	0	2500	2700	0	0	0	0	1100	0	0	0	0	0	0	0	9400	0	0	2000	0	500	0	0	4800	0	0	0	15600	0	2600	0	0	0	0	2800	500	2400	1800	0	0	0	3300	0	0	0	0	0	3700	0	0	5900	7700	0	800	9600	0	0	0	7500	0	0	5200	3300	7900	4900	2700	0	0	0	0	0	0	0	4000	0	5300	0	5800	11900	0	0	14600	0	0	0	600	4600	0	1200	0	0	0
2800	19000	0	2300	0	8300	0	0	0	0	2500	2700	0	500	0	0	1100	0	0	0	0	0	0	0	9400	0	0	2000	0	500	0	0	4800	0	0	0	15600	0	2600	0	0	0	0	2800	500	2400	1800	0	0	0	3300	0	0	0	0	0	3700	0	0	5900	7700	0	800	9600	0	0	0	7500	0	0	5200	3300	7900	4900	2700	0	0	0	0	6400	0	0	4000	0	5300	0	5800	11900	3400	0	14600	0	0	0	600	4600	0	1200	0	0	0
2900	19000	0	2300	0	8300	6900	0	0	0	2500	2700	0	500	0	0	1100	0	0	0	0	0	0	0	9400	0	5700	2000	0	500	0	0	4800	0	0	0	15600	0	2600	0	0	0	0	2800	500	2400	1800	0	0	0	3300	1700	0	0	0	0	3700	0	0	5900	7700	0	800	9600	0	0	0	7500	0	0	5200	3300	7900	4900	0	0	0	0	0	6400	0	0	4000	0	5300	0	5800	11900	3400	0	14600	0	700	0	600	4600	0	1200	0	0	1000
3000	19000	0	2300	0	8300	6900	0	0	0	2500	2700	0	500	0	0	1100	0	0	0	0	0	0	0	9400	0	5700	2000	0	500	0	0	4800	0	0	0	15600	0	0	500	0	0	0	2800	500	2400	1800	0	0	0	3300	1700	0	0	0	0	3700	0	0	5900	7700	0	800	9600	0	0	0	7500	0	0	5200	3300	7900	4900	0	0	0	0	0	6400	0	0	4000	0	5300	0	5800	11900	3400	0	14600	0	700	0	600	4600	0	1200	0	0	1000
3100	19000	0	2300	0	8300	6900	0	0	0	2500	2700	0	500	0	0	1100	0	0	0	0	0	0	0	9400	0	5700	2000	0	500	0	0	4800	0	0	0	15600	0	2600	500	0	0	0	2800	500	2400	1800	0	0	0	3300	1700	0	0	0	0	3700	0	0	5900	7700	0	800	9600	0	0	0	7500	0	0	5200	3300	7900	4900	0	0	0	0	0	6400	0	0	4000	0	5300	0	5800	11900	0	0	14600	0	700	0	600	4600	0	1200	0	0	1000
3200	19000	0	2300	0	8300	6900	0	0	0	2500	2700	0	500	0	0	1100	0	0	0	0	0	0	0	9400	0	5700	2000	0	500	0	0	4800	0	0	0	15600	0	2600	500	0	0	0	2800	0	0	1300	0	0	0	3300	1700	0	0	0	0	3700	0	0	5900	7700	0	800	9600	0	0	0	7500	0	0	5200	3300	7900	4900	0	0	0	0	0	6400	0	0	4000	0	5300	0	5800	11900	3400	0	14600	0	700	0	600	4600	0	1200	0	0	1000
3300	19000	0	2300	0	8300	6900	0	0	0	2500	2700	0	500	0	0	1100	0	0	0	0	0	0	0	9400	0	5700	2000	0	500	0	0	4800	0	0	0	15600	0	2600	500	0	0	0	2800	500	2400	1300	0	0	0	3300	0	0	0	0	0	3700	0	0	5900	7700	0	800	9600	0	0	0	7500	0	0	5200	3300	7900	4900	0	0	0	0	0	6400	0	0	4000	0	5300	0	5800	11900	3400	0	14600	0	700	0	0	4600	0	1200	0	0	1000
3400	19000	0	2300	0	8300	6900	0	0	0	2500	2700	0	500	0	0	1100	0	0	0	0	0	0	0	9400	0	6100	2000	0	500	0	0	4800	0	0	0	15600	0	2600	500	0	0	0	2800	500	2400	1300	0	0	0	3300	1700	0	0	0	0	3700	0	0	5900	7700	0	800	9600	0	0	0	7500	0	0	5200	3300	7900	4900	0	0	0	0	0	0	0	0	4000	0	5300	0	5800	11900	3400	0	14600	0	700	0	600	4600	0	1200	0	0	1000
3500	19000	0	2300	0	8300	6900	0	0	0	2500	2700	0	500	0	0	1100	0	0	0	0	0	0	0	9400	0	6100	2000	0	500	0	0	4800	0	0	0	15600	0	2600	500	0	0	0	2800	2100	2400	1300	2200	0	0	3300	1700	0	0	0	0	0	0	0	5900	7700	0	800	3200	0	0	0	7500	0	0	5200	3300	7900	4900	0	0	0	0	0	0	0	0	4000	0	5300	0	5800	11900	3400	0	14600	0	700	0	600	4600	0	10900	0	0	1000
3600	19000	0	2300	0	8300	6900	0	0	0	2500	2700	0	500	0	0	5600	0	0	0	0	0	0	0	9400	0	6100	2000	0	500	0	0	4800	0	0	0	15600	0	2600	500	0	0	0	2800	2100	2400	1300	2200	0	0	3400	1700	0	0	0	0	3700	0	0	5900	7700	0	800	3200	0	0	0	7500	0	0	5200	3300	7900	4900	0	0	0	0	0	0	0	0	4000	0	5300	0	5800	11900	3400	0	14600	0	700	0	600	4600	0	10900	0	0	1000
3700	19000	0	2300	0	8300	6900	0	0	0	2500	2700	0	500	0	0	5700	0	0	0	0	0	0	0	9400	0	6100	2000	0	500	0	0	4800	0	0	0	15600	0	2600	500	0	0	0	2800	2100	2400	1300	2200	0	0	3400	1700	0	0	0	0	3700	0	0	5900	7700	0	800	3200	0	0	0	7500	0	0	5200	3300	7900	4900	0	0	0	0	0	0	0	0	4000	0	5300	0	5800	11900	3400	0	14600	0	700	0	600	4600	0	10900	0	0	1000
3800	19000	0	2300	0	8300	6900	0	0	0	2500	2700	0	500	0	0	5700	0	0	0	0	0	0	0	9400	0	6100	2000	0	500	0	0	4800	0	0	0	15600	0	0	500	0	0	0	2800	2100	2400	1300	2200	0	0	3400	1700	0	0	0	0	0	0	0	6400	7700	0	800	3200	0	0	0	7500	0	0	5200	3300	7900	4900	0	0	0	0	0	0	0	0	4000	0	5300	0	5800	11900	3400	0	14600	0	0	0	600	4600	0	10900	0	0	1000
3900	19000	0	2300	0	8300	6900	0	0	0	2500	2700	0	500	0	0	5700	0	0	0	0	0	0	0	9400	0	6100	2000	0	500	0	0	4800	0	0	0	15600	0	2600	500	0	0	0	2800	2100	2400	1300	2200	0	0	3400	1700	0	0	0	0	3700	0	0	6400	7900	0	800	3200	0	0	0	7500	0	0	5200	3300	7900	4900	0	0	0	0	0	0	0	0	4000	0	5300	0	5800	11900	3400	0	14600	0	0	0	600	4600	0	10900	0	0	1000
4000	19000	0	2300	0	9200	6900	0	0	0	2500	2700	0	500	0	0	5700	0	0	0	0	0	0	0	9400	0	6100	2000	0	500	0	0	4800	0	3200	0	15600	0	2600	500	0	0	0	2800	2100	2400	1300	2200	0	0	3400	1700	0	0	0	0	3700	0	0	6400	7900	0	800	3200	0	0	0	7500	0	0	5200	3300	7900	4900	0	0	0	0	0	0	0	0	4000	0	5300	0	5800	11900	3400	0	14600	0	0	0	600	4600	0	10900	0	0	1000
4100	19000	0	2300	0	9200	0	0	0	0	2500	2700	0	500	0	0	5700	0	0	0	0	0	0	0	9400	0	6100	0	0	500	0	0	4800	0	3200	0	15600	0	2600	500	0	0	0	2800	2100	2400	1300	2200	0	0	3400	0	1300	0	0	0	3700	0	0	6400	7900	0	800	3200	0	0	0	7500	0	0	5200	3300	7900	4900	0	0	0	0	0	0	0	0	4000	0	5300	0	5800	11900	3400	0	14600	0	700	0	600	4600	0	12900	0	0	1000
4200	19000	0	2300	0	9200	0	0	0	0	2500	2700	0	500	0	0	5700	0	0	0	0	0	0	0	9400	0	6100	2000	0	500	0	0	4800	0	3200	0	15600	0	2600	500	0	0	0	2800	2100	2400	1300	2200	0	0	3400	1700	1300	0	0	0	3700	0	0	6400	7900	0	800	3200	0	0	0	7500	0	0	5200	3300	7900	4900	0	0	0	0	0	0	0	3100	4000	0	5300	0	5800	11900	3400	0	14600	0	800	0	600	4600	0	12900	0	0	1000
4300	19000	0	2300	0	9200	0	0	0	0	2500	2700	0	500	0	0	5700	0	0	0	0	0	0	0	9400	0	6100	2000	0	500	0	0	14800	0	3200	0	15600	0	2600	500	0	0	0	2800	2100	2400	1300	2200	0	0	3400	1700	1300	0	0	0	3700	0	0	6400	7900	0	800	3200	0	0	0	7500	0	0	5200	3300	10500	4900	0	0	0	0	0	0	0	3100	4000	0	5300	0	5800	11900	3400	0	14600	0	800	0	800	4600	0	12900	0	0	1000
4400	19000	0	2300	0	9200	0	0	0	0	2500	2700	0	500	0	0	5700	0	0	0	0	0	0	0	9500	0	6100	2000	0	500	0	0	14800	0	3200	0	15600	0	2600	500	0	0	0	2800	2100	2400	1300	2200	0	0	3400	1700	1300	0	0	0	3700	0	0	6400	7900	0	800	3200	0	0	0	7500	0	0	5200	3300	10500	4900	0	0	0	1100	0	0	0	3500	4000	0	5300	0	5800	11900	3400	0	14600	0	800	0	800	4600	0	12900	0	0	1000
4500	19000	0	2300	0	9200	0	0	0	0	2500	2700	0	500	0	0	5700	0	0	0	0	0	0	0	9500	0	6100	2000	0	500	0	0	14800	0	4800	0	15600	0	2600	500	0	0	0	2800	0	2400	1300	2200	0	0	3400	1700	1300	0	0	0	0	0	0	6400	7900	0	800	3200	0	0	0	7500	0	0	5200	3300	10500	4900	0	0	0	1100	0	0	0	3500	4000	0	5300	0	5800	11900	3400	0	14600	0	800	0	800	4600	0	12900	0	0	1000
4600	19000	0	2300	0	9200	0	0	0	0	2500	2700	0	500	0	0	5700	0	0	0	0	0	0	0	9500	0	6100	2000	0	500	0	0	14800	0	6600	0	15600	0	2600	500	0	0	0	2800	2100	2400	1300	2200	0	0	3400	1700	1300	0	0	0	3700	0	0	6400	7900	0	800	3200	0	0	0	7500	0	0	5200	3300	10500	4900	0	0	0	1100	0	0	0	3500	4000	0	5300	0	5800	11900	3400	0	14600	0	0	0	800	4600	0	12900	0	0	1000
4700	19000	0	2300	0	9200	0	0	0	0	2500	2700	0	500	0	0	5700	0	0	0	0	0	0	0	9500	0	6100	2000	0	500	0	0	14800	0	6600	0	15600	0	2600	500	0	0	0	2800	0	2400	1300	2200	0	0	3400	1700	1300	0	0	0	3700	0	0	6400	7900	0	800	3200	0	0	0	7500	0	0	5200	3300	10500	4900	0	0	0	1100	0	0	0	3500	4000	0	5300	0	5800	11900	3400	0	14600	0	2700	0	800	4600	0	12900	0	0	1000
4800	19000	0	2300	0	11700	0	0	0	0	2500	2700	0	500	0	0	5700	0	0	0	0	0	0	0	9500	0	6100	2000	0	500	0	0	14800	0	6600	0	15600	0	2600	500	0	0	0	2800	2800	2400	1400	2200	0	0	3400	1700	1300	0	0	0	0	0	0	6400	7900	0	800	8900	0	0	0	7500	1800	0	5200	3300	10500	4900	0	0	0	1100	0	0	0	3500	4000	0	5300	0	5800	11900	3400	0	14600	0	2700	0	800	4600	0	12900	0	0	1000
4900	19000	0	2300	0	11700	0	0	0	0	2500	2700	0	500	0	0	5700	0	0	0	0	0	0	0	9500	0	6100	2000	0	500	0	0	14800	0	6600	0	15600	0	4500	500	0	0	0	2800	2800	2400	1400	2200	0	0	3400	1900	4800	0	0	0	3700	0	14000	6400	7900	0	800	8900	0	0	0	7500	1800	0	5200	3300	10500	4900	0	0	0	1100	0	0	0	3500	4000	0	5300	0	5800	11900	3400	0	14600	0	2700	0	800	4600	0	12900	0	0	1000
5000	19000	0	2300	0	11700	0	0	0	0	2500	2700	0	500	0	0	5700	0	0	0	0	0	0	0	9500	0	6100	2000	0	500	0	0	14800	0	6600	0	15600	0	5200	500	0	0	0	0	2800	2400	1400	2200	0	0	3400	1900	4800	0	0	0	3700	0	14000	6400	7900	0	800	8900	0	0	0	7500	1800	0	5200	3300	10500	4900	0	0	0	1100	0	0	0	3500	4000	0	5300	0	5800	11900	3400	0	14600	0	800	0	800	4600	0	12900	0	0	1000
5100	19000	0	2300	0	11700	0	0	0	0	2500	2700	0	500	0	0	5700	0	0	0	0	0	0	0	9500	0	6100	2000	0	500	0	0	14800	0	6600	0	15600	0	5200	500	0	0	0	4700	2800	2400	2300	2200	0	0	3400	1900	4800	0	0	0	3700	0	14000	6400	7900	0	800	8900	0	0	0	9000	1800	0	5200	3300	10500	4900	0	0	0	1100	0	0	0	3500	4000	0	5300	0	5800	11900	3400	0	14600	0	2700	0	800	4600	0	12900	0	0	1000
5200	19000	0	2300	0	11700	0	0	0	0	2500	2700	0	500	0	0	5700	0	0	0	0	0	0	0	9500	0	6100	2000	0	500	0	0	14800	0	6600	0	15600	0	5200	500	0	0	0	0	2800	2400	2300	2200	0	0	3400	1900	5500	0	0	0	3700	0	14000	6400	7900	0	800	8900	3900	0	0	9000	1800	0	5200	3300	10500	4900	0	0	0	1100	0	0	0	3500	4000	0	5300	0	5800	11900	3400	0	14600	0	2700	0	800	4600	0	12900	0	0	1000
5300	19000	0	2300	0	11700	0	0	0	0	2500	2700	0	500	0	0	5700	0	0	0	0	0	0	0	9500	0	6100	2000	0	500	0	0	14800	0	6600	0	15600	0	5200	500	0	0	0	0	2800	2400	2300	2200	0	0	3400	1900	5500	0	0	0	3700	0	14000	6400	7900	0	800	8900	3900	0	0	9000	1800	0	5200	3300	10500	4900	0	0	0	1100	0	0	0	3500	4000	0	5300	0	5800	11900	3400	0	14600	0	2700	0	800	4600	0	12900	0	0	1000
5400	19000	0	2300	0	11700	0	0	0	0	2500	2700	0	500	0	0	5700	0	0	0	0	0	0	0	9500	0	6100	2000	0	500	0	0	16100	10700	6600	0	15600	0	5200	500	0	0	0	0	2800	2400	2300	2200	0	0	3400	1900	5500	0	0	0	3700	0	14000	6400	7900	0	800	8900	3900	0	0	9000	1800	0	5200	3300	10500	4900	0	0	0	1100	0	0	0	3500	4000	0	5300	0	5800	11900	3400	0	14600	0	2700	0	800	4600	0	12900	0	0	1000
